Lon,Lat,Clave,Edo,Est,Tmed
-101.51,20.43,ABSGJ,GTO,ABASOLO,16.2
-98.38,24.06,ABSTP,TAMPS,ABASOLO,15.0
-116.9,32.44,ALRBN,BC,ABELARDO L. RODRIGUEZ,16.7
-97.97,20.17,ACJPB,PUE,ACAJETE                           *,12.3
-92.8,16.55,ACACP,CHIS,ACALA,21.2
-100.71,20.03,ACNGJ,GTO,ACAMBARO,15.0
-99.75,16.76,76805,GRO,ACAPULCO,27.2
-99.9,16.84,ACAGR,GRO,ACAPULCO,25.4
-96.84,19.7,ACAVC,VER,ACATLAN,12.8
-103.23,22.33,ACHZC,ZAC,ACHIMEC,12.8
-110.21,30,ACNSO,SON,ACONCHI,14.8
-98.94,20.26,ACTHD,HGO,ACTOPAN,13.3
-96.58,19.49,ACTVC,VER,ACTOPAN,20.0
-108.7,25.7,ARCSI,SIN,ADOLFO RUIZ CORTINEZ,20.1
-99.5,17.5,AERGR,GRO,AEROPUERTO,21.3
-100.93,25.55,ARACL,COAH,AEROPUERTO DE RAMOS ARIZPE,10.0
-104.48,26.23,APRDR,DGO,AGUA PUERCA,10.5
-101.62,20.49,ATBGJ,GTO,AGUA TIBIA,13.5
-102.29,21.85,76571,AGS,AGUASCALIENTES,13.2
-102.3,21.89,AGSAG,AGS,AGUASCALIENTES,14.0
-104.07,25.26,AM2DR,DGO,AGUSTIN MELGAR (EHCA),12.5
-98.14,20.03,AHUPB,PUE,AHUAZOTEPEC,7.5
-97.41,19.45,ACHPB,PUE,ALCHICHICA,9.4
-100.84,28.33,ADLCL,COAH,ALLENDE,10.7
-111.83,30.71,76113,SON,ALTAR,16.5
-111.73,30.71,ALTSO,SON,ALTAR,16.8
-97.23,19.76,ALTVC,VER,ALTOTONGA,9.2
-107.46,25.03,AWSSI,SIN,ANDREW WEISS,20.2
-92.75,16.44,ANGCP,CHIS,ANGOSTURA,21.7
-97.84,20.41,APAPB,PUE,APAPANTILLA,18.6
-102.27,19.08,APTMC,MICH,APATZINGAN                          *,24.3
-93.9,16.24,76840,CHIS,ARRIAGA,26.6
-93.89,16.24,AROCP,CHIS,ARRIAGA METEOROLÓGICO,26.7
-98.4,18.9,ATXPB,PUE,ATLIXCO,16.1
-103.46,21.81,ATGZC,ZAC,ATOLINGA,11.1
-107.91,25.85,GD2SI,SIN,BACURATO (HIDRO) P.GUSTAVO DÍAZ ORDAZ,21.2
-98.16,18.89,BDDPB,PUE,BALCON DEL DIABLO,11.9
-98.95,21.74,BLMSL,SLP,BALLESMI,17.1
-96.72,17.07,BAEOX,OAX,BASE AEREA,16.2
-104.05,19.91,BBAJL,JAL,BASILIO BADILLO,22.0
-107.72,27.03,BTPCH,CHIH,BATOPILAS,22.2
-89.25,19.83,BECYC,YUC,BECANCHEN,20.5
-91.48,17.43,BDCTB,TAB,BOCA DEL CERRO,22.4
-91.48,17.42,BOCADELCERRO,TAB,BOCA DEL CERRO,21.8
-102.97,22.82,BTEZC,ZAC,BOCA DEL TESORERO,9.3
-97.93,22.39,BALTP,TAMPS,BOMBAS ALTAMIRA,17.3
-93.15,16.64,BOQCP,CHIS,BOQUERON,21.4
-95.93,16.65,BOQOX,OAX,BOQUILLA 1,22.0
-96.93,19.48,BRIVC,VER,BRIONES,12.2
-103.61,19.24,BVSCM,COL,BUENAVISTA,23.7
-99.2,18.2,BVSGR,GRO,BUENAVISTA,19.1
-98.19,19.04,CNAPB,PUE,C.N.A.,15.1
-105.06,20.03,CPEJL,JAL,CAJON DE PE¤A,24.5
-103.63,18.81,CLLCM,COL,CALLEJONES,27.0
-102.41,22.14,PECAG,AGS,CALLES,14.1
-99.12,19.53,CEADF,DF,CAMPAMENTO AMEALCO,13.5
-90.5,19.83,76695,CAMP,CAMPECHE,22.6
-90.54,19.83,CMPCA,CAMP,CAMPECHE,21.7
-90.54,19.83,COBCA,CAMP,CAMPECHE OBSERVATORIO,22.5
-104.7,24,CAGDR,DGO,CAMPO AGRICOLA,11.1
-90.72,19.36,CANCA,CAMP,CANASAYAB,21.5
-104.75,24.5,CNTDR,DGO,CANATLAN,12.6
-86.82,21.15,CANQR,QROO,CANCUN,24.8
-91.04,18.18,CNDCA,CAMP,CANDELARIA,22.4
-96.37,19.36,CRDVC,VER,CARDEL,21.3
-93.41,17.8,CARTB,TAB,CARDENAS,21.7
-88.04,19.57,FCRQR,QROO,CARRILLO PUERTO,22.5
-107.9,30.5,CAGCH,CHIH,CASAS GRANDES,8.8
-92.47,16.3,CASCP,CHIS,CASCAJAL,21.1
-105.17,27.69,CCOCH,CHIH,CD. CAMARGO,9.5
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,19.2
-105.46,28.2,CDLCH,CHIH,CD. DELICIAS,11.4
-106.44,31.73,CJZCH,CHIH,CD. JUAREZ,8.8
-99.01,21.98,CDVSL,SLP,CD. VALLES,17.6
-99.17,23.75,76491,TAMPS,CD. VICTORIA,13.8
-97.94,18.96,CEMPB,PUE,CEMEX,11.7
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,14.0
-96.26,18.01,CDOOX,OAX,CERRO DE ORO (MADRID),20.8
-103.72,18.75,CDOCM,COL,CERRO DE ORTEGA,25.2
-90.71,19.36,CHMCA,CAMP,CHAMPOTON,22.0
-88.3,18.48,76750,QROO,CHETUMAL,22.6
-88.32,18.49,CHOQR,QROO,CHETUMAL,22.6
-94.82,16.58,CHIOX,OAX,CHICAPA,23.6
-93.1,16.93,CHICP,CHIS,CHICOASEN,21.1
-92.28,15.75,CHMCP,CHIS,CHICOMUSELO,20.9
-98.57,18.51,CHIPB,PUE,CHIETLA,20.3
-98.05,19.91,CNGPB,PUE,CHIGNAHUAPAN,7.3
-106.13,28.67,76225,CHIH,CHIHUAHUA,10.7
-99.5,17.55,76762,GRO,CHILPANCINGO,21.3
-99.5,17.54,CHIGR,GRO,CHILPANCINGO,20.6
-108.54,27.41,CNDCH,CHIH,CHINIPAS,17.4
